Type,Origin attribute,Predicate,Object type,Class,Input source
Language,languageOfMaterials.lang,,Subject,rico:Language,Holding @ EHRI Portal Search API
,languageOfMaterials.lang,rico:name,Literal,rico:Language,Holding @ EHRI Portal Search API
Acquisition,id,,Subject,rico:Activity,Holding @ EHRI Portal Search API
,,rico:hasActivityType,IRI (constant as ehri:AcquisitionType),rico:Activity,
,acquisition,rico:generalDescription,,rico:Activity,Holding @ EHRI Portal Search API
Term,,,,,
Camp,,,,,
Ghetto,,,,,
Person,identifier,,Subject,,AuthoritativeSet @ EHRI GraphQL API
,name,rico:name,Literal,rico:Person,AuthoritativeSet @ EHRI GraphQL API
,biographicalHistory,rico:history,Literal,rico:Person,AuthoritativeSet @ EHRI GraphQL API
,,rico:hasOrHadAgentName,IRI -> PersonOtherFormName,,
,,rico:hasOrHadAgentName,IRI -> PersonParallelFormName,,
PersonOtherFormName,identifier,,Subject,,AuthoritativeSet @ EHRI GraphQL API
,otherFormsOfName,rico:name,Literal,rico:AgentName,AuthoritativeSet @ EHRI GraphQL API
PersonParallelFormName,identifier,,Subject,,AuthoritativeSet @ EHRI GraphQL API
,parallelFormsOfName,rico:name,,rico:AgentName,AuthoritativeSet @ EHRI GraphQL API
Corporate Body,identifier,,Subject,,AuthoritativeSet @ EHRI GraphQL API
,name,rico:name,Literal,rico:CorporateBody,AuthoritativeSet @ EHRI GraphQL API
,biographicalHistory,rico:history,Literal,rico:CorporateBody,AuthoritativeSet @ EHRI GraphQL API
,source,rdfs:seeAlso,IRI,rico:CorporateBody,AuthoritativeSet @ EHRI GraphQL API
